Time of the generation of the data point., The number of round trips measured by this data point., The duration for this measurement., The underlying connection's RTT at probe time., The underlying connection's congestion window at probe time., The type of the probe., 
12-21-2022-22-27-31.195,3, 0.1106868,0.039025,15084, Foreign,
12-21-2022-22-27-30.387,3, 0.9505771,0.036648,15084, Foreign,
12-21-2022-22-27-31.496,3, 0.1216855,0.042378,15084, Foreign,
12-21-2022-22-27-31.700,3, 0.1018499,0.033677,15084, Foreign,
12-21-2022-22-27-31.802,3, 0.1357861,0.041726,15084, Foreign,
12-21-2022-22-27-32.004,3, 0.1063945,0.029504,15084, Foreign,
12-21-2022-22-27-31.395,3, 1.1736635,0.040447,6348, Foreign,
12-21-2022-22-27-32.709,3, 0.1288785,0.043743,15084, Foreign,
12-21-2022-22-27-32.508,3, 0.4120439,0.039777,15084, Foreign,
12-21-2022-22-27-33.010,3, 0.1058922,0.035114,15084, Foreign,
12-21-2022-22-27-32.406,3, 0.7545083,0.036077,15084, Foreign,
12-21-2022-22-27-32.809,3, 0.3983932,0.039325,15084, Foreign,
12-21-2022-22-27-33.110,3, 0.1059858,0.041365,15084, Foreign,
12-21-2022-22-27-31.295,3, 1.9265005,0.038403,6348, Foreign,
12-21-2022-22-27-32.104,3, 1.1358014,0.031317,6348, Foreign,
12-21-2022-22-27-32.205,3, 1.1295806,0.040931,6348, Foreign,
12-21-2022-22-27-33.210,3, 0.13817,0.046018,15084, Foreign,
12-21-2022-22-27-33.413,3, 0.1091899,0.033672,15084, Foreign,
12-21-2022-22-27-29.475,3, 4.2860857,0.950822,1980, Foreign,
12-21-2022-22-27-33.721,3, 0.15795,0.036284,15084, Foreign,
12-21-2022-22-27-33.924,3, 0.1102395,0.036957,15084, Foreign,
12-21-2022-22-27-31.904,3, 2.1574165,0.033514,6348, Foreign,
12-21-2022-22-27-28.871,3, 5.2354632,0.042346,6348, Foreign,
12-21-2022-22-27-34.024,3, 0.1196883,0.03252,15084, Foreign,
12-21-2022-22-27-34.124,3, 0.2512384,0.04557,15084, Foreign,
12-21-2022-22-27-33.312,3, 1.1227029,0.034022,6348, Foreign,
12-21-2022-22-27-34.328,3, 0.1207286,0.036218,15084, Foreign,
12-21-2022-22-27-32.305,3, 2.1604634,0.038124,15084, Foreign,
12-21-2022-22-27-22.906,3, 11.5971801,0.036275,6348, Foreign,
12-21-2022-22-27-34.630,3, 0.1332746,0.035787,15084, Foreign,
12-21-2022-22-27-34.225,3, 0.5462616,0.036796,15084, Foreign,
12-21-2022-22-27-34.730,3, 0.1168898,0.039541,15084, Foreign,
12-21-2022-22-27-34.428,3, 0.4412125,0.050245,15084, Foreign,
12-21-2022-22-27-33.514,3, 1.4188185,0.036144,15084, Foreign,
12-21-2022-22-27-35.033,3, 0.1152818,0.033305,15084, Foreign,
12-21-2022-22-27-34.529,3, 0.6210314,0.052268,15084, Foreign,
12-21-2022-22-27-31.095,3, 4.1186891,0.029598,6348, Foreign,
12-21-2022-22-27-34.831,3, 0.3991214,0.035967,15084, Foreign,
12-21-2022-22-27-35.134,3, 0.1649031,0.036431,15084, Foreign,
12-21-2022-22-27-34.933,3, 0.3992402,0.038215,15084, Foreign,
12-21-2022-22-27-33.823,3, 1.5094508,0.048183,6348, Foreign,
12-21-2022-22-27-35.234,3, 0.1113109,0.041756,15084, Foreign,
12-21-2022-22-27-35.436,3, 0.121925,0.037207,15084, Foreign,
12-21-2022-22-27-35.637,3, 0.1688361,0.040066,15084, Foreign,
12-21-2022-22-27-32.609,3, 3.2998936,0.037979,6348, Foreign,
12-21-2022-22-27-35.838,3, 0.1259255,0.045244,15084, Foreign,
12-21-2022-22-27-35.536,3, 0.4313506,0.037581,15084, Foreign,
12-21-2022-22-27-31.599,3, 4.4970126,0.038378,1980, Foreign,
12-21-2022-22-27-35.738,3, 0.4158566,0.046587,15084, Foreign,
12-21-2022-22-27-36.246,3, 0.1798026,0.036129,15084, Foreign,
12-21-2022-22-27-35.334,3, 1.1134714,0.032022,6348, Foreign,
